enemy_5039_dqgint,enemy_5052_dqsbr,enemy_15026_dqmtrf,enemy_15084_dqhfly,enemy_5042_dqkght_2,enemy_15081_dqmage,enemy_15030_dqsgpr,enemy_15009_dqmgcs,enemy_5036_dqger_2,enemy_5043_dqgscr,enemy_15077_dqqzts,enemy_15014_dqmmka,enemy_15013_dqsnsl,enemy_5035_dqveng_2,enemy_15047_dqwlpl,enemy_15022_dqhvys,enemy_15095_dqams,enemy_15078_dqcjld,enemy_15094_dqgent,enemy_15040_dqrdmn,enemy_15080_dqgtop,enemy_5031_dqrtar_2,enemy_5053_dqllme,enemy_15048_dqdivi,enemy_5040_dqmage,enemy_5038_dqiprr_2,enemy_15018_dqskzc,enemy_15083_dqymot,enemy_15092_dqudg,enemy_15091_dqbus,enemy_15046_dqxts,enemy_15008_dqspsb,enemy_5055_dqkill,enemy_15010_dqcadk,enemy_15082_dqklr,enemy_5028_dqlime_2,enemy_15089_dqbgpa,enemy_15021_dqdurg,enemy_15079_dqkodo,enemy_15015_dqmerr,enemy_5037_dqdbox,enemy_15023_dqwlfm,enemy_5048_dqingd,enemy_15028_dqmtrb,enemy_15088_dqterm,enemy_15086_dqcbld,enemy_15085_dqji,enemy_15029_dqfrtu,enemy_5029_dqslim,enemy_15093_dqzfkl,enemy_15004_dqdhdt,enemy_15052_dqboar,enemy_15002_dqwing,enemy_15011_dqnhst,enemy_15075_dqzklz,enemy_15076_dqzmst,enemy_15073_dqkght,enemy_15074_dqdght,enemy_15090_dqacpa,enemy_15033_dqclif,enemy_5032_dqmon,enemy_5033_dqmstr_2,enemy_15072_dqlbgg,enemy_15070_dqhlgy,enemy_15071_dqyrzf,enemy_15068_dqsui,enemy_15069_dqdeer,g1|g13,g1|g16,g3|s34,label
1,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,3,0,0,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,3,11,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,3,0,8,0,0,0,0,0,-15,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,-4,0,0,0,0,0,0,0,0,0,0,0,4,7,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,7,25,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-3,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-12,0,0,0,3,0,0,0,0,0,0,-22,0,0,0,0,0,5,14,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
